postcode,lat,lon
2000,-33.860,151.210
2001,-33.790,151.270
2002,-35.970,146.410
2004,0.000,0.000
2006,-33.890,151.190
2007,-33.880,151.200
2008,-33.890,151.200
2009,-33.870,151.190
2010,-33.880,151.220
2011,-33.870,151.230
2012,-33.730,150.930
2013,-33.730,150.930
2015,-33.900,151.200
2016,-33.890,151.200
2017,-33.900,151.210
2018,-33.930,151.210
2019,-33.960,151.210
2020,-33.930,151.190
2021,-33.890,151.220
2022,-33.890,151.250
2023,-33.890,151.260
2024,-33.900,151.260
2025,-33.890,151.240
2026,-33.890,151.260
2027,-33.870,151.240
2028,-33.880,151.240
2029,-33.870,151.280
2030,-33.870,151.280
2031,-33.910,151.260
2032,-33.930,151.230
2033,-33.910,151.220
2034,-33.920,151.250
2035,-33.950,151.240
2036,-33.980,151.240
2037,-33.880,151.180
2038,-33.880,151.170
2039,-33.860,151.170
2040,-33.880,151.160
2041,-33.860,151.180
2042,-33.900,151.170
2043,-33.900,151.190
2044,-33.910,151.180
2045,-33.880,151.140
2046,-33.850,151.130
2047,-33.850,151.150
2048,-33.900,151.170
2049,-33.890,151.140
2050,-33.890,151.180
2052,-33.910,151.230
2055,-33.800,151.100
2057,-33.790,151.190
2058,0.000,0.000
2059,-33.800,151.100
2060,-33.840,151.190
2061,-33.850,151.210
2062,-33.820,151.210
2063,-33.820,151.220
2064,-33.810,151.190
2065,-33.830,151.200
2066,-33.810,151.170
2067,-33.800,151.190
2068,-33.800,151.210
2069,-33.780,151.200
2070,-33.770,151.190
2071,-33.750,151.170
2072,-33.760,151.160
2073,-33.740,151.140
2074,-33.710,151.150
2075,-33.730,151.160
2076,-33.720,151.100
2077,-33.690,151.110
2079,-33.660,151.120
2080,-33.630,151.230
2081,-33.620,151.150
2082,-33.610,151.140
2083,-33.510,151.160
2084,-33.620,151.200
2085,-33.740,151.210
2086,-33.750,151.230
2087,-33.760,151.210
2088,-33.830,151.240
2089,-33.830,151.220
2090,-33.830,151.230
2091,0.000,0.000
2092,-33.800,151.250
2093,-33.790,151.260
2094,-33.790,151.270
2095,-33.800,151.290
2096,-33.770,151.290
2097,-33.740,151.300
2099,-33.740,151.280
2100,-33.770,151.250
2101,-33.700,151.280
2102,-33.690,151.300
2103,-33.680,151.300
2104,-33.660,151.300
2105,-33.640,151.280
2106,-33.660,151.310
2107,-33.640,151.330
2108,-33.600,151.300
2109,-33.770,151.110
2110,-33.830,151.150
2111,-33.820,151.140
2112,-33.800,151.100
2113,-33.800,151.130
2114,-33.800,151.080
2115,-33.810,151.050
2116,-33.810,151.030
2117,-33.800,151.040
2118,-33.780,151.050
2119,-33.750,151.060
2120,-33.740,151.070
2121,-33.770,151.080
2122,-33.790,151.080
2123,-33.890,151.140
2124,-33.890,151.140
2125,-33.750,151.040
2126,-33.720,151.040
2127,-33.850,151.080
2128,-33.840,151.050
2129,-33.870,151.190
2130,-33.890,151.140
2131,-33.890,151.130
2132,-33.880,151.110
2133,-33.900,151.110
2134,-33.880,151.100
2135,-33.870,151.090
2136,-33.890,151.100
